,Density,Molar Volume,Freely Rotatable Bonds,H Acceptors,H Donors,Molecular Weight,Polar Surface Area,Boiling Point
0,1.799,167.9,6.0,7.0,5.0,302.24,127.0,642.4
1,0.99,107.9,1.0,1.0,2.0,107.15,26.0,
2,1.079,183.8,2.0,1.0,0.0,196.24,17.1,218.6
3,1.265,109.2,1.0,2.0,2.0,138.19,71.0,278.9
4,1.328,156.6,0.0,2.0,0.0,208.21,34.1,406.0
5,1.331,143.1,1.0,2.0,0.0,190.65,42.5,330.2
6,1.253,139.7,2.0,3.0,1.0,175.18,42.1,331.7
7,1.1,113.0,1.0,1.0,0.0,125.19,38.2,106.0
8,1.809,173.5,1.0,2.0,0.0,313.98,25.8,357.7
9,1.173,191.0,6.0,5.0,2.0,224.26,78.1,377.4
10,1.72,106.0,0.0,2.0,0.0,183.01,36.7,120.0
11,1.1181,212.3,8.0,5.0,0.0,236.2,71.6,
12,1.272,131.3,3.0,4.0,1.0,167.16,66.1,314.9
13,1.402,164.1,0.0,4.0,2.0,230.29,81.9,395.1
14,1.1,212.9,0.0,0.0,0.0,234.34,0.0,345.6
15,1.21,217.4,4.0,5.0,1.0,264.27,72.8,443.3
16,1.212,207.2,4.0,5.0,2.0,251.28,75.6,354.3
17,1.169,219.0,5.0,3.0,1.0,256.3,38.7,420.4
18,,,,,,,,
19,1.084,181.4,3.0,1.0,0.0,196.67,17.1,304.6
20,,,6.0,3.0,0.0,164.14,41.3,134.9
21,1.02,211.8,2.0,1.0,1.0,216.32,20.2,310.8
22,1.316,139.0,4.0,5.0,1.0,183.16,75.3,341.2
23,1.667,213.7,6.0,7.0,5.0,356.33,135.0,647.5
24,1.243,176.3,3.0,4.0,0.0,219.24,38.8,331.5
25,1.319,244.1,3.0,5.0,0.0,322.31,57.9,508.3
26,1.109,212.8,7.0,4.0,0.0,236.26,52.6,
27,0.958,227.7,4.0,2.0,0.0,218.34,16.1,307.2
28,1.4,275.1,7.0,7.0,3.0,386.4,113.0,646.4
29,1.37,131.8,2.0,5.0,1.0,181.15,79.8,497.1
30,1.36,213.4,2.0,5.0,0.0,290.34,83.0,438.3
31,1.31,690.8,14.0,19.0,7.0,906.03,262.0,1256.6
32,1.887,246.8,3.0,2.0,0.0,466.05,18.5,402.0
33,1.3,162.9,6.0,4.0,1.0,213.25,91.4,178.0
34,1.833,201.8,1.0,3.0,1.0,370.04,37.9,499.8
35,1.381,149.2,2.0,4.0,0.0,206.22,87.0,343.6
36,1.61,60.8,2.0,4.0,4.0,98.11,69.9,342.2
37,1.285,250.0,4.0,5.0,2.0,321.37,71.1,670.6
38,1.794,188.3,3.0,2.0,3.0,338.04,46.3,338.7
39,,,,,,,,
40,1.511,185.3,0.0,4.0,0.0,280.3,88.2,556.9
41,1.098,203.2,6.0,4.0,3.0,223.32,52.7,332.8
42,1.454,253.2,3.0,7.0,1.0,368.34,87.4,581.5
43,1.85,142.7,3.0,8.0,4.0,265.25,157.0,
44,,,,,,,,
45,1.595,154.1,2.0,1.0,0.0,245.93,17.1,
46,2.18,168.0,0.0,1.0,0.0,367.86,4.93,411.4
47,1.188,240.9,2.0,4.0,0.0,286.32,48.7,427.2
48,1.123,156.9,4.0,4.0,1.0,176.24,83.2,259.3
49,0.981,187.6,6.0,3.0,0.0,184.23,43.4,267.3
50,1.56,267.3,4.0,8.0,3.0,418.84,111.0,
51,1.27,159.6,3.0,5.0,0.0,203.2,57.0,359.4
52,1.066,244.1,5.0,3.0,0.0,260.33,27.7,379.0
53,1.569,155.2,1.0,4.0,1.0,243.67,71.6,
54,1.272,342.8,11.0,8.0,2.0,436.46,95.1,566.4
55,1.493,180.9,2.0,5.0,2.0,270.24,83.8,556.4
56,1.644,219.1,5.0,8.0,5.0,360.32,137.0,628.2
57,,,,,,,,
58,1.049,146.0,4.0,1.0,0.0,153.25,51.7,242.8
59,1.282,546.3,29.0,19.0,0.0,700.69,223.0,710.4
60,1.38,256.8,4.0,6.0,2.0,356.8,93.1,552.3
61,1.592,328.7,3.0,0.0,0.0,523.53,0.0,500.7
62,1.569,195.2,0.0,1.0,0.0,306.58,12.9,442.8
63,1.067,349.1,1.0,2.0,0.0,372.55,25.8,484.9
64,1.054,210.6,6.0,3.0,1.0,222.28,38.7,339.8
65,,,,,,,,
66,1.48,196.7,5.0,1.0,0.0,291.23,66.6,383.2
67,1.245,228.3,4.0,5.0,0.0,284.31,51.7,449.7
68,1.152,215.0,7.0,4.0,1.0,247.72,43.5,311.8
69,1.84,284.5,9.0,10.0,3.0,525.15,136.0,
70,1.317,182.3,2.0,4.0,0.0,240.29,79.8,485.9
71,1.16,247.9,9.0,5.0,0.0,287.74,63.7,452.5
72,1.54,99.9,2.0,5.0,3.0,154.12,88.8,531.5
73,1.293,294.1,4.0,2.0,0.0,380.53,69.1,536.5
74,2.02,96.3,2.0,7.0,0.0,195.13,106.0,412.5
75,0.824,150.5,4.0,1.0,0.0,124.18,9.23,151.6
76,1.51,155.3,0.0,4.0,2.0,235.24,57.3,588.8
77,0.895,340.1,7.0,3.0,0.0,304.61,27.7,240.3
78,1.477,142.2,4.0,6.0,3.0,210.19,99.5,509.5
79,1.28,205.5,3.0,0.0,0.0,263.17,0.0,342.9
80,1.164,1066.3,24.0,16.0,4.0,1241.56,205.0,
81,1.41,256.2,10.0,9.0,4.0,363.37,137.0,769.3
82,,,,,,342.65,,
83,1.236,239.6,5.0,5.0,0.0,296.32,66.1,491.4
84,1.48,267.7,6.0,8.0,1.0,397.39,107.0,707.6
85,1.81,250.6,2.0,11.0,0.0,454.6,148.0,593.4
86,1.012,263.5,5.0,1.0,0.0,266.81,17.1,348.8
87,1.31,348.6,4.0,4.0,0.0,458.55,40.6,718.2
88,1.491,442.6,13.0,6.0,0.0,660.36,78.4,499.6
89,1.124,317.0,2.0,4.0,0.0,356.46,44.8,504.7
90,1.369,336.4,5.0,0.0,0.0,460.7,113.0,648.1
91,1.238,272.4,11.0,7.0,0.0,337.37,90.0,455.7
92,1.28,531.3,16.0,14.0,4.0,680.74,212.0,768.2
93,2.017,146.7,2.0,1.0,0.0,295.98,45.3,307.8
94,1.47,234.7,3.0,4.0,0.0,347.21,44.1,487.3
95,1.46,300.4,7.0,7.0,4.0,440.44,119.0,648.4
96,,,,,,,,
97,1.436,183.2,5.0,4.0,3.0,263.21,69.6,460.1
98,1.407,181.3,2.0,3.0,1.0,255.19,49.9,380.6
99,1.41,216.7,5.0,7.0,1.0,306.34,118.0,444.8
100,1.239,315.0,1.0,2.0,0.0,390.47,26.3,610.1
101,1.32,224.1,4.0,7.0,1.0,296.28,103.0,510.9
102,1.34,227.1,8.0,9.0,0.0,306.26,114.0,442.4
103,1.169,284.2,6.0,3.0,0.0,332.39,43.4,545.8
104,1.692,138.8,2.0,3.0,3.0,235.1,83.4,
105,1.21,236.6,7.0,6.0,1.0,287.31,76.7,457.1
106,1.232,336.2,8.0,7.0,1.0,414.45,99.1,598.3
107,1.873,150.0,4.0,4.0,1.0,281.05,51.6,472.4
108,1.362,290.1,8.0,6.0,2.0,395.24,88.4,680.9
109,1.29,253.7,1.0,2.0,0.0,327.4,46.9,455.4
110,1.42,200.1,4.0,5.0,2.0,284.26,76.0,491.9
111,1.08,221.7,3.0,0.0,0.0,240.28,9.81,382.7
112,1.48,154.5,2.0,5.0,2.0,229.24,70.1,560.7
113,1.3,710.0,18.0,18.0,10.0,930.1,276.0,1262.6
114,0.97,289.4,4.0,3.0,0.0,282.45,35.5,304.8
115,1.43,206.7,6.0,7.0,2.0,297.28,94.2,415.5
116,1.696,156.8,2.0,3.0,3.0,266.09,63.3,422.1
117,1.003,227.3,8.0,4.0,0.0,228.29,52.6,266.6
118,1.59,228.2,4.0,10.0,2.0,363.37,124.0,536.5
119,1.399,264.6,6.0,8.0,3.0,370.42,127.0,600.3
120,1.29,158.8,3.0,5.0,0.0,205.21,56.5,
121,1.638,225.3,4.0,6.0,3.0,369.24,115.0,774.7
122,1.24,227.2,6.0,6.0,0.0,282.29,78.9,386.1
123,1.54,243.7,2.0,4.0,0.0,377.18,79.9,443.2
124,1.4,215.7,6.0,5.0,1.0,304.17,50.5,463.5
125,1.281,328.1,6.0,7.0,1.0,420.48,108.0,590.5
126,0.988,220.7,5.0,2.0,0.0,218.29,26.3,303.1
127,1.189,397.3,11.0,9.0,0.0,472.53,112.0,612.5
128,1.019,202.2,4.0,2.0,1.0,206.28,37.3,292.2
129,1.522,154.4,3.0,8.0,0.0,235.15,118.0,436.8
130,,,0.0,2.0,0.0,357.17,26.0,473.0
131,1.38,208.7,3.0,7.0,2.0,288.32,118.0,
132,1.176,138.7,1.0,1.0,1.0,163.24,44.0,288.7
133,1.346,173.2,4.0,5.0,1.0,233.22,75.3,443.9
134,,,,,,,,
135,,,,,,,,
136,1.256,348.9,13.0,10.0,1.0,438.43,143.0,580.9
137,,,,,,,,
138,,,,,,,,
139,1.08,67.7,1.0,2.0,1.0,72.06,37.3,143.0
140,1.1725,95.9,1.0,1.0,2.0,111.12,26.0,188.0
141,1.129,133.8,1.0,3.0,0.0,151.16,45.8,226.0
142,1.721,146.4,1.0,3.0,0.0,252.06,37.4,368.2
143,1.214,119.4,1.0,3.0,1.0,145.16,41.6,362.2
144,1.363,399.5,8.0,8.0,8.0,544.59,162.0,853.7
145,0.864,117.0,2.0,2.0,1.0,101.15,29.1,
146,1.114,175.0,3.0,4.0,0.0,195.22,38.8,345.6
147,1.298,140.7,1.0,0.0,0.0,182.67,28.2,
148,1.333,159.8,4.0,5.0,0.0,213.16,72.1,312.3
149,1.68,130.3,0.0,2.0,2.0,219.09,56.2,329.8
150,1.452,139.1,1.0,2.0,0.0,202.05,22.1,
151,1.123,285.1,8.0,5.0,0.0,320.38,65.1,418.6
152,1.273,96.6,2.0,3.0,1.0,123.11,57.2,
153,1.9791,98.0,1.0,0.0,0.0,199.87,0.0,60.0
154,1.143,157.6,5.0,3.0,1.0,180.2,46.5,148.0
155,2.347,120.9,0.0,1.0,0.0,283.89,12.9,284.1
156,1.03,184.5,4.0,2.0,0.0,190.24,26.3,333.2
157,1.4,406.0,11.0,11.0,5.0,569.6,164.0,814.2
158,1.227,182.6,3.0,4.0,1.0,224.28,78.3,411.9
159,1.193,133.4,1.0,2.0,1.0,159.18,32.9,333.9
160,1.25,140.3,1.0,2.0,0.0,176.24,51.1,134.0
161,1.54,230.2,2.0,0.0,0.0,354.93,0.0,383.0
162,0.969,528.9,10.0,5.0,1.0,512.9,65.0,474.0
163,1.756,211.8,5.0,2.0,2.0,372.05,40.5,473.9
164,1.318,133.6,2.0,3.0,1.0,176.17,46.5,386.1
165,1.733,208.9,0.0,4.0,0.0,362.18,55.7,640.4
166,1.129,153.3,0.0,2.0,0.0,173.21,20.3,332.3
167,1.26,196.2,3.0,2.0,0.0,248.37,76.4,421.8
168,1.595,184.3,2.0,3.0,0.0,294.17,51.8,251.6
169,2.412,145.0,2.0,1.0,0.0,349.87,41.1,340.2
170,1.331,158.6,5.0,7.0,1.0,211.18,97.0,456.7
171,1.29,304.4,4.0,5.0,1.0,393.48,51.2,598.0
172,1.069,191.0,1.0,3.0,2.0,204.27,41.1,411.7
